t,i,v
0,0,-9
3.15544362088405e-30,-9.46633086265214e-30,-9
6.69836381735888e-05,-0.000200950914520766,-9
0.000401901829041533,-0.0012057054871246,-9
0.00207649278338125,-0.00622947835014376,-9
0.01,-0.03,-9
0.02,-0.0597,-9
0.03,-0.089103,-9
0.04,-0.11821197,-9
0.05,-0.1470298503,-9
0.06,-0.175559551797,-9
0.07,-0.20380395627903,-9
0.08,-0.23176591671624,-9
0.09,-0.259448257549077,-9
0.1,-0.286853774973587,-9
0.11,-0.313985237223851,-9
0.12,-0.340845384851612,-9
0.13,-0.367436931003096,-9
0.14,-0.393762561693065,-9
0.15,-0.419824936076134,-9
0.16,-0.445626686715373,-9
0.17,-0.471170419848219,-9
0.18,-0.496458715649737,-9
0.19,-0.52149412849324,-9
0.2,-0.546279187208307,-9
0.21,-0.570816395336224,-9
0.22,-0.595108231382862,-9
0.23,-0.619157149069034,-9
0.24,-0.642965577578343,-9
0.25,-0.66653592180256,-9
0.26,-0.689870562584534,-9
0.27,-0.712971856958689,-9
0.28,-0.735842138389102,-9
0.29,-0.758483717005211,-9
0.3,-0.780898879835159,-9
0.31,-0.803089891036807,-9
0.32,-0.825058992126439,-9
0.33,-0.846808402205175,-9
0.34,-0.868340318183123,-9
0.35,-0.889656915001292,-9
0.36,-0.910760345851279,-9
0.37,-0.931652742392766,-9
0.38,-0.952336214968838,-9
0.39,-0.97281285281915,-9
0.4,-0.993084724290959,-9
0.41,-1.01315387704805,-9
0.42,-1.03302233827757,-9
0.43,-1.05269211489479,-9
0.44,-1.07216519374584,-9
0.45,-1.09144354180839,-9
0.46,-1.1105291063903,-9
0.47,-1.1294238153264,-9
0.48,-1.14812957717314,-9
0.49,-1.1666482814014,-9
0.5,-1.18498179858739,-9
0.51,-1.20313198060152,-9
0.52,-1.2211006607955,-9
0.53,-1.23888965418755,-9
0.54,-1.25650075764567,-9
0.55,-1.27393575006921,-9
0.56,-1.29119639256852,-9
0.57,-1.30828442864284,-9
0.58,-1.32520158435641,-9
0.59,-1.34194956851284,-9
0.6,-1.35853007282772,-9
0.61,-1.37494477209944,-9
0.62,-1.39119532437844,-9
0.63,-1.40728337113466,-9
0.64,-1.42321053742331,-9
0.65,-1.43897843204908,-9
0.66,-1.45458864772859,-9
0.67,-1.4700427612513,-9
0.68,-1.48534233363879,-9
0.69,-1.5004889103024,-9
0.7,-1.51548402119938,-9
0.71,-1.53032918098738,-9
0.72,-1.54502588917751,-9
0.73,-1.55957563028574,-9
0.74,-1.57397987398288,-9
0.75,-1.58824007524305,-9
0.76,-1.60235767449062,-9
0.77,-1.61633409774571,-9
0.78,-1.63017075676826,-9
0.79,-1.64386904920057,-9
0.8,-1.65743035870857,-9
0.81,-1.67085605512148,-9
0.82,-1.68414749457027,-9
0.83,-1.69730601962456,-9
0.84,-1.71033295942832,-9
0.85,-1.72322962983404,-9
0.86,-1.73599733353569,-9
0.87,-1.74863736020034,-9
0.88,-1.76115098659833,-9
0.89,-1.77353947673235,-9
0.9,-1.78580408196503,-9
0.91,-1.79794604114538,-9
0.92,-1.80996658073392,-9
0.93,-1.82186691492658,-9
0.94,-1.83364824577732,-9
0.95,-1.84531176331955,-9
0.96,-1.85685864568635,-9
0.97,-1.86829005922949,-9
0.98,-1.87960715863719,-9
0.99,-1.89081108705082,-9
1,-1.90190297618031,-9
1.01,-1.91288394641851,-9
1.02,-1.92375510695432,-9
1.03,-1.93451755588478,-9
1.04,-1.94517238032593,-9
1.05,-1.95572065652267,-9
1.06,-1.96616344995745,-9
1.07,-1.97650181545787,-9
1.08,-1.98673679730329,-9
1.09,-1.99686942933026,-9
1.1,-2.00690073503696,-9
1.11,-2.01683172768659,-9
1.12,-2.02666341040972,-9
1.13,-2.03639677630562,-9
1.14,-2.04603280854257,-9
1.15,-2.05557248045714,-9
1.16,-2.06501675565257,-9
1.17,-2.07436658809605,-9
1.18,-2.08362292221508,-9
1.19,-2.09278669299293,-9
1.2,-2.101858826063,-9
1.21,-2.11084023780237,-9
1.22,-2.11973183542435,-9
1.23,-2.12853451707011,-9
1.24,-2.13724917189941,-9
1.25,-2.14587668018041,-9
1.26,-2.15441791337861,-9
1.27,-2.16287373424482,-9
1.28,-2.17124499690237,-9
1.29,-2.17953254693335,-9
1.3,-2.18773722146402,-9
1.31,-2.19585984924938,-9
1.32,-2.20390125075688,-9
1.33,-2.21186223824931,-9
1.34,-2.21974361586682,-9
1.35,-2.22754617970815,-9
1.36,-2.23527071791107,-9
1.37,-2.24291801073196,-9
1.38,-2.25048883062464,-9
1.39,-2.25798394231839,-9
1.4,-2.26540410289521,-9
1.41,-2.27275006186626,-9
1.42,-2.2800225612476,-9
1.43,-2.28722233563512,-9
1.44,-2.29435011227877,-9
1.45,-2.30140661115598,-9
1.46,-2.30839254504442,-9
1.47,-2.31530861959398,-9
1.48,-2.32215553339804,-9
1.49,-2.32893397806406,-9
1.5,-2.33564463828342,-9
1.51,-2.34228819190058,-9
1.52,-2.34886530998158,-9
1.53,-2.35537665688176,-9
1.54,-2.36182289031294,-9
1.55,-2.36820466140981,-9
1.56,-2.37452261479572,-9
1.57,-2.38077738864776,-9
1.58,-2.38696961476128,-9
1.59,-2.39309991861367,-9
1.6,-2.39916891942753,-9
1.61,-2.40517723023326,-9
1.62,-2.41112545793092,-9
1.63,-2.41701420335161,-9
1.64,-2.4228440613181,-9
1.65,-2.42861562070492,-9
1.66,-2.43432946449787,-9
1.67,-2.43998616985289,-9
1.68,-2.44558630815436,-9
1.69,-2.45113044507282,-9
1.7,-2.45661914062209,-9
1.71,-2.46205294921587,-9
1.72,-2.46743241972371,-9
1.73,-2.47275809552647,-9
1.74,-2.47803051457121,-9
1.75,-2.48325020942549,-9
1.76,-2.48841770733124,-9
1.77,-2.49353353025793,-9
1.78,-2.49859819495535,-9
1.79,-2.50361221300579,-9
1.8,-2.50857609087574,-9
1.81,-2.51349032996698,-9
1.82,-2.51835542666731,-9
1.83,-2.52317187240064,-9
1.84,-2.52794015367663,-9
1.85,-2.53266075213986,-9
1.86,-2.53733414461846,-9
1.87,-2.54196080317228,-9
1.88,-2.54654119514056,-9
1.89,-2.55107578318915,-9
1.9,-2.55556502535726,-9
1.91,-2.56000937510369,-9
1.92,-2.56440928135265,-9
1.93,-2.56876518853912,-9
1.94,-2.57307753665373,-9
1.95,-2.5773467612872,-9
1.96,-2.58157329367432,-9
1.97,-2.58575756073758,-9
1.98,-2.5898999851302,-9
1.99,-2.5940009852789,-9
2,-2.59806097542611,-9
2.01,-2.60208036567185,-9
2.02,-2.60605956201513,-9
2.03,-2.60999896639498,-9
2.04,-2.61389897673103,-9
2.05,-2.61775998696372,-9
2.06,-2.62158238709409,-9
2.07,-2.62536656322314,-9
2.08,-2.62911289759091,-9
2.09,-2.632821768615,-9
2.1,-2.63649355092885,-9
2.11,-2.64012861541956,-9
2.12,-2.64372732926537,-9
2.13,-2.64729005597272,-9
2.14,-2.65081715541299,-9
2.15,-2.65430898385886,-9
2.16,-2.65776589402027,-9
2.17,-2.66118823508007,-9
2.18,-2.66457635272927,-9
2.19,-2.66793058920197,-9
2.2,-2.67125128330995,-9
2.21,-2.67453877047685,-9
2.22,-2.67779338277209,-9
2.23,-2.68101544894437,-9
2.24,-2.68420529445492,-9
2.25,-2.68736324151037,-9
2.26,-2.69048960909527,-9
2.27,-2.69358471300432,-9
2.28,-2.69664886587427,-9
2.29,-2.69968237721553,-9
2.3,-2.70268555344338,-9
2.31,-2.70565869790894,-9
2.32,-2.70860211092985,-9
2.33,-2.71151608982055,-9
2.34,-2.71440092892235,-9
2.35,-2.71725691963312,-9
2.36,-2.72008435043679,-9
2.37,-2.72288350693243,-9
2.38,-2.7256546718631,-9
2.39,-2.72839812514447,-9
2.4,-2.73111414389303,-9
2.41,-2.7338030024541,-9
2.42,-2.73646497242955,-9
2.43,-2.73910032270526,-9
2.44,-2.74170931947821,-9
2.45,-2.74429222628342,-9
2.46,-2.74684930402059,-9
2.47,-2.74938081098038,-9
2.48,-2.75188700287058,-9
2.49,-2.75436813284187,-9
2.5,-2.75682445151345,-9
2.51,-2.75925620699832,-9
2.52,-2.76166364492834,-9
2.53,-2.76404700847905,-9
2.54,-2.76640653839426,-9
2.55,-2.76874247301032,-9
2.56,-2.77105504828022,-9
2.57,-2.77334449779742,-9
2.58,-2.77561105281944,-9
2.59,-2.77785494229125,-9
2.6,-2.78007639286833,-9
2.61,-2.78227562893965,-9
2.62,-2.78445287265025,-9
2.63,-2.78660834392375,-9
2.64,-2.78874226048451,-9
2.65,-2.79085483787967,-9
2.66,-2.79294628950087,-9
2.67,-2.79501682660586,-9
2.68,-2.7970666583398,-9
2.69,-2.79909599175641,-9
2.7,-2.80110503183884,-9
2.71,-2.80309398152045,-9
2.72,-2.80506304170525,-9
2.73,-2.8070124112882,-9
2.74,-2.80894228717532,-9
2.75,-2.81085286430356,-9
2.76,-2.81274433566053,-9
2.77,-2.81461689230392,-9
2.78,-2.81647072338088,-9
2.79,-2.81830601614707,-9
2.8,-2.8201229559856,-9
2.81,-2.82192172642575,-9
2.82,-2.82370250916149,-9
2.83,-2.82546548406987,-9
2.84,-2.82721082922917,-9
2.85,-2.82893872093688,-9
2.86,-2.83064933372751,-9
2.87,-2.83234284039024,-9
2.88,-2.83401941198634,-9
2.89,-2.83567921786647,-9
2.9,-2.83732242568781,-9
2.91,-2.83894920143093,-9
2.92,-2.84055970941662,-9
2.93,-2.84215411232246,-9
2.94,-2.84373257119923,-9
2.95,-2.84529524548724,-9
2.96,-2.84684229303237,-9
2.97,-2.84837387010204,-9
2.98,-2.84989013140102,-9
2.99,-2.85139123008701,-9
3,-2.85287731778614,-9
3.01,-2.85434854460828,-9
3.02,-2.8558050591622,-9
3.03,-2.85724700857058,-9
3.04,-2.85867453848487,-9
3.05,-2.86008779310002,-9
3.06,-2.86148691516902,-9
3.07,-2.86287204601733,-9
3.08,-2.86424332555716,-9
3.09,-2.86560089230159,-9
3.1,-2.86694488337857,-9
3.11,-2.86827543454479,-9
3.12,-2.86959268019934,-9
3.13,-2.87089675339734,-9
3.14,-2.87218778586337,-9
3.15,-2.87346590800474,-9
3.16,-2.87473124892469,-9
3.17,-2.87598393643544,-9
3.18,-2.87722409707109,-9
3.19,-2.87845185610038,-9
