t,noisy_i,v
0,0.0112741074565359,10
6.02852743562299e-05,0.0114750583710567,10
0.00036171164613738,0.0124798129436605,10
0.001,0.078806185614275,10
0.002,-0.0204509620617198,10
0.003,0.0506355554253631,10
0.004,0.0195175967188665,10
0.005,0.00436720226216701,10
0.006,-0.00913668609659147,10
0.007,0.027621546321999,10
0.008,0.0448226016508225,10
0.009,0.0378528974972957,10
0.01,0.0493468483713781,10
0.011,0.0521896808720888,10
0.012,0.0353972085748481,10
0.013,0.0827067755424486,10
0.014,0.0300161060559927,10
0.015,-0.0174754823583154,10
0.016,0.0040278636926501,10
0.017,0.113525598873208,10
0.018,0.0459046322206683,10
0.019,0.0324113788709479,10
0.02,0.0395192462668223,10
0.021,0.0457037148127263,10
0.022,0.0572977258396329,10
0.023,0.0602868502579035,10
0.024,0.0723248636577857,10
0.025,0.129490209474763,10
0.026,0.0879183430621926,10
0.027,0.129286836300293,10
0.028,0.116431548983333,10
0.029,0.105943334769671,10
0.03,0.0800224358284808,10
0.031,0.0872616026950603,10
0.032,0.0975964487459295,10
0.033,0.0684201188115343,10
0.034,0.179350819259672,10
0.035,0.145958601292977,10
0.036,0.0964898953109875,10
0.037,0.0902313737649966,10
0.038,0.119558243831119,10
0.039,0.151414229616039,10
0.04,0.122238782540789,10
0.041,0.0932535008652556,10
0.042,0.10830445349604,10
0.043,0.139476432902481,10
0.044,0.18032212652235,10
0.045,0.145181945930834,10
0.046,0.179097286443179,10
0.047,0.13659449125435,10
0.048,0.155460072369648,10
0.049,0.163877507040292,10
0.05,0.110813600512985,10
0.051,0.0940010134168131,10
0.052,0.181624747323536,10
0.053,0.167303912784299,10
0.054,0.212210129404911,10
0.055,0.176434095507556,10
0.056,0.169078463485813,10
0.057,0.167859666336788,10
0.058,0.208536533634373,10
0.059,0.20693238879113,10
0.06,0.221405523663078,10
0.061,0.259258274174776,10
0.062,0.219771699706989,10
0.063,0.149497795076427,10
0.064,0.210978316188099,10
0.065,0.257316659673058,10
0.066,0.181483061348569,10
0.067,0.215353432022596,10
0.068,0.171855259751796,10
0.069,0.234222704956258,10
0.07,0.210222964606474,10
0.071,0.179342346845415,10
0.072,0.249382808160259,10
0.073,0.302118456222334,10
0.074,0.258245841575137,10
0.075,0.235433418381869,10
0.076,0.341837368080553,10
0.077,0.225994553958311,10
0.078,0.285430159637167,10
0.079,0.277535612718353,10
0.08,0.280348632774137,10
0.081,0.261957168117985,10
0.082,0.219681975016152,10
0.083,0.287001885485604,10
0.084,0.275967457644032,10
0.085,0.227276006065618,10
0.086,0.363844144394553,10
0.087,0.327986021429622,10
0.088,0.282737492870952,10
0.089,0.248389440154789,10
0.09,0.268020116467668,10
0.091,0.280997990316385,10
0.092,0.293449672301107,10
0.093,0.26969665255633,10
0.094,0.271759124454255,10
0.095,0.286814136781575,10
0.096,0.277535371608971,10
0.097,0.345788443913408,10
0.098,0.283243927632516,10
0.099,0.334863588156406,10
0.1,0.386223295436039,10
0.101,0.291135111183516,10
0.102,0.339992296793134,10
0.103,0.307608633594561,10
0.104,0.322472551295464,10
0.105,0.289674656497157,10
0.106,0.391664661550014,10
0.107,0.342108821088043,10
0.108,0.338013225820894,10
0.109,0.34536359938113,10
0.11,0.343339820060267,10
0.111,0.317732792504189,10
0.112,0.350325359086416,10
0.113,0.390396554459021,10
0.114,0.427489375838549,10
0.115,0.365197032557982,10
0.116,0.289480592608371,10
0.117,0.414084213444211,10
0.118,0.367895731042442,10
0.119,0.417717542259657,10
0.12,0.408165619097017,10
0.121,0.376509264652088,10
0.122,0.35762131640918,10
0.123,0.430392849742203,10
0.124,0.363922531068579,10
0.125,0.372523491128514,10
0.126,0.426953470858313,10
0.127,0.410627151083592,10
0.128,0.351218213549317,10
0.129,0.398502116592533,10
0.13,0.402715536683429,10
0.131,0.405729867862457,10
0.132,0.42449031804217,10
0.133,0.371655907210738,10
0.134,0.405217513249123,10
0.135,0.377563250011572,10
0.136,0.448609583998906,10
