t,v,i,noisy_i
0,5,0,0.00112741074565359
0.00012057054871246,10,0.000200950914520766,0.00132836166017436
0.000723423292274759,10,0.0012057054871246,0.00233311623277819
0.001,10,0.00166666666666667,0.00279407741232026
0.002,10,0.00499833333333333,0.00612574407898692
0.003,10,0.00832666833333333,0.00945407907898692
0.004,10,0.0116516749983333,0.0127790857439869
0.005,10,0.0149733566566683,0.0161007674023219
0.006,10,0.018291716633345,0.0194191273789986
0.007,10,0.021606758250045,0.0227341689956986
0.008,10,0.0249184848251283,0.0260458955707819
0.009,10,0.0282268996736365,0.0293543104192901
0.01,10,0.0315320061072962,0.0326594168529498
0.011,10,0.0348338074345222,0.0359612181801758
0.012,10,0.038132306960421,0.0392597177060746
0.013,10,0.0414275079867939,0.0425549187324475
0.014,10,0.0447194138121405,0.0458468245577941
0.015,10,0.0480080277316617,0.0491354384773153
0.016,10,0.0512933530372633,0.0524207637829169
0.017,10,0.0545753930175594,0.055702803763213
0.018,10,0.0578541509578752,0.0589815617035288
0.019,10,0.0611296301402506,0.0622570408859042
0.02,10,0.0644018338434437,0.0655292445890973
0.021,10,0.0676707653429336,0.0687981760885872
0.022,10,0.070936427910924,0.0720638386565776
0.023,10,0.0741988248163464,0.075326235562
0.024,10,0.0774579593248634,0.078585370070517
0.025,10,0.0807138346988719,0.0818412454445255
0.026,10,0.0839664541975064,0.0850938649431599
0.027,10,0.0872158210766422,0.0883432318222958
0.028,10,0.0904619385888989,0.0915893493345525
0.029,10,0.0937048099836433,0.0948322207292969
0.03,10,0.096944438506993,0.0980718492526466
0.031,10,0.100180827401819,0.101308238147473
0.032,10,0.103413979907751,0.104541390653404
0.033,10,0.106643899261176,0.10777131000683
0.034,10,0.109870588695249,0.110997999440902
0.035,10,0.113094051439887,0.11422146218554
0.036,10,0.11631429072178,0.117441701467434
0.037,10,0.119531309764392,0.120658720510045
0.038,10,0.122745111787961,0.123872522533614
0.039,10,0.125955700009506,0.12708311075516
0.04,10,0.12916307764283,0.130290488388483
0.041,10,0.13236724789852,0.133494658644174
0.042,10,0.135568213983955,0.136695624729609
0.043,10,0.138765979103305,0.139893389848958
0.044,10,0.141960546457535,0.143087957203188
0.045,10,0.14515191924441,0.146279329990064
0.046,10,0.148340100658499,0.149467511404153
0.047,10,0.151525093891174,0.152652504636828
0.048,10,0.154706902130616,0.15583431287627
0.049,10,0.157885528561819,0.159012939307473
0.05,10,0.161060976366591,0.162188387112244
0.051,10,0.164233248723557,0.165360659469211
0.052,10,0.167402348808167,0.168529759553821
0.053,10,0.170568279792692,0.171695690538346
0.054,10,0.173731044846233,0.174858455591886
0.055,10,0.17689064713472,0.178018057880374
0.056,10,0.180047089820919,0.181174500566572
0.057,10,0.183200376064431,0.184327786810085
0.058,10,0.1863505090217,0.187477919767353
0.059,10,0.189497491846012,0.190624902591665
0.06,10,0.192641327687499,0.193768738433152
0.061,10,0.195782019693145,0.196909430438798
0.062,10,0.198919571006785,0.200046981752438
0.063,10,0.202053984769111,0.203181395514765
0.064,10,0.205185264117676,0.206312674863329
0.065,10,0.208313412186891,0.209440822932545
0.066,10,0.211438432108038,0.212565842853691
0.067,10,0.214560327009263,0.215687737754917
0.068,10,0.217679100015587,0.218806510761241
0.069,10,0.220794754248905,0.221922164994558
0.07,10,0.223907292827989,0.225034703573643
0.071,10,0.227016718868495,0.228144129614148
0.072,10,0.230123035482959,0.231250446228613
0.073,10,0.23322624578081,0.234353656526463
0.074,10,0.236326352868362,0.237453763614016
0.075,10,0.239423359848827,0.240550770594481
0.076,10,0.242517269822312,0.243644680567965
0.077,10,0.245608085885823,0.246735496631476
0.078,10,0.24869581113327,0.249823221878924
0.079,10,0.25178044865547,0.252907859401124
0.08,10,0.254862001540148,0.255989412285802
0.081,10,0.257940472871941,0.259067883617595
0.082,10,0.261015865732403,0.262143276478056
0.083,10,0.264088183200004,0.265215593945657
0.084,10,0.267157428350137,0.268284839095791
0.085,10,0.27022360425512,0.271351015000774
0.086,10,0.273286713984199,0.274414124729852
0.087,10,0.276346760603548,0.277474171349201
0.088,10,0.279403747176277,0.280531157921931
0.089,10,0.282457676762434,0.283585087508088
0.09,10,0.285508552419005,0.286635963164659
0.091,10,0.28855637719992,0.289683787945573
0.092,10,0.291601154156053,0.292728564901707
0.093,10,0.29464288633523,0.295770297080884
0.094,10,0.297681576782229,0.298808987527882
0.095,10,0.30071722853878,0.301844639284433
0.096,10,0.303749844643574,0.304877255389228
0.097,10,0.306779428132264,0.307906838877918
0.098,10,0.309805982037465,0.310933392783119
0.099,10,0.312829509388761,0.313956920134414
0.1,10,0.315850013212705,0.3233972984408
0.101,10,0.318867496532826,0.32641478176092
0.102,10,0.321881962369627,0.329429247597721
0.103,10,0.32489341374059,0.332440698968684
0.104,10,0.327901853660183,0.335449138888277
0.105,10,0.330907285139856,0.33845457036795
0.106,10,0.33390971118805,0.341456996416144
0.107,10,0.336909134810195,0.344456420038289
0.108,10,0.339905559008718,0.347452844236812
0.109,10,0.342898986783043,0.350446272011137
0.11,10,0.345889421129593,0.353436706357687
0.111,10,0.348876865041797,0.356424150269891
0.112,10,0.351861321510088,0.359408606738182
0.113,10,0.354842793521912,0.362390078750006
0.114,10,0.357821284061723,0.365368569289817
0.115,10,0.360796796110995,0.368344081339089
0.116,10,0.363769332648217,0.371316617876311
0.117,10,0.366738896648902,0.374286181876996
0.118,10,0.369705491085586,0.377252776313681
0.119,10,0.372669118927834,0.380216404155928
0.12,10,0.37562978314224,0.383177068370334
0.121,10,0.378587486692431,0.386134771920525
0.122,10,0.381542232539072,0.389089517767166
0.123,10,0.384494023639866,0.39204130886796
0.124,10,0.387442862949559,0.394990148177653
0.125,10,0.390388753419943,0.397936038648037
0.126,10,0.393331697999857,0.400878983227951
0.127,10,0.39627169963519,0.403818984863284
0.128,10,0.399208761268888,0.406756046496982
0.129,10,0.402142885840953,0.409690171069047
0.13,10,0.405074076288445,0.412621361516539
0.131,10,0.40800233554549,0.415549620773584
0.132,10,0.410927666543278,0.418474951771372
0.133,10,0.413850072210068,0.421397357438162
0.134,10,0.416769555471191,0.424316840699285
0.135,10,0.419686119249053,0.427233404477147
0.136,10,0.422599766463138,0.430147051691232
0.137,10,0.425510500030008,0.433057785258102
0.138,10,0.428418322863311,0.435965608091405
0.139,10,0.431323237873781,0.438870523101875
0.14,10,0.434225247969241,0.441772533197335
0.141,10,0.437124356054605,0.444671641282699
0.142,10,0.440020565031883,0.447567850259978
0.143,10,0.442913877800185,0.450461163028279
0.144,10,0.445804297255718,0.453351582483812
0.145,10,0.448691826291796,0.45623911151989
0.146,10,0.451576467798837,0.459123753026931
0.147,10,0.454458224664372,0.462005509892466
0.148,10,0.457337099773041,0.464884385001135
0.149,10,0.460213096006601,0.467760381234695
0.15,10,0.463086216243928,0.470633501472022
0.151,10,0.465956463361017,0.473503748589111
0.152,10,0.468823840230989,0.476371125459083
0.153,10,0.471688349724092,0.479235634952186
0.154,10,0.474549994707701,0.482097279935795
0.155,10,0.477408778046326,0.484956063274421
0.156,10,0.480264702601613,0.487811987829708
0.157,10,0.483117771232345,0.490665056460439
0.158,10,0.485967986794446,0.49351527202254
0.159,10,0.488815352140985,0.496362637369079
0.16,10,0.491659870122177,0.499207155350272
0.161,10,0.494501543585389,0.502048828813483
0.162,10,0.497340375375136,0.504887660603231
0.163,10,0.500176368333095,0.507723653561189
0.164,10,0.503009525298095,0.510556810526189
0.165,10,0.50583984910613,0.513387134334224
0.166,10,0.508667342590357,0.516214627818452
0.167,10,0.5114920085811,0.519039293809194
0.168,10,0.514313849905852,0.521861135133947
0.169,10,0.51713286938928,0.524680154617374
0.17,10,0.519949069853224,0.527496355081318
0.171,10,0.522762454116704,0.530309739344798
0.172,10,0.525573024995921,0.533120310224015
