t,i,v
0,0,10
6.02852743562299e-05,0.000200950914520766,10
0.00036171164613738,0.0012057054871246,10
0.001,0.00333333333333333,10
0.002,0.00666333333333333,10
0.003,0.00999000333333333,10
0.004,0.0133133466633333,10
0.005,0.0166333666500033,10
0.006,0.0199500666166867,10
0.007,0.0232634498834033,10
0.008,0.0265735197668532,10
0.009,0.0298802795804197,10
0.01,0.0331837326341726,10
0.011,0.0364838822348718,10
0.012,0.0397807316859703,10
0.013,0.0430742842876176,10
0.014,0.0463645433366633,10
0.015,0.04965151212666,10
0.016,0.0529351939478667,10
0.017,0.0562155920872521,10
0.018,0.0594927098284982,10
0.019,0.0627665504520031,10
0.02,0.0660371172348844,10
0.021,0.0693044134509828,10
0.022,0.0725684423708652,10
0.023,0.0758292072618276,10
0.024,0.0790867113878991,10
0.025,0.0823409580098446,10
0.026,0.0855919503851681,10
0.027,0.0888396917681162,10
0.028,0.0920841854096815,10
0.029,0.0953254345576051,10
0.03,0.0985634424563808,10
0.031,0.101798212347258,10
0.032,0.105029747468244,10
0.033,0.108258051054109,10
0.034,0.111483126336388,10
0.035,0.114704976543385,10
0.036,0.117923604900175,10
0.037,0.121139014628608,10
0.038,0.124351208947313,10
0.039,0.127560191071699,10
0.04,0.130765964213961,10
0.041,0.13396853158308,10
0.042,0.13716789638483,10
0.043,0.140364061821779,10
0.044,0.14355703109329,10
0.045,0.14674680739553,10
0.046,0.149933393921468,10
0.047,0.15311679386088,10
0.048,0.156297010400352,10
0.049,0.159474046723285,10
0.05,0.162647906009895,10
0.051,0.165818591437219,10
0.052,0.168986106179115,10
0.053,0.172150453406269,10
0.054,0.175311636286196,10
0.055,0.178469657983243,10
0.056,0.181624521658593,10
0.057,0.184776230470268,10
0.058,0.187924787573131,10
0.059,0.191070196118892,10
0.06,0.194212459256106,10
0.061,0.197351580130183,10
0.062,0.200487561883386,10
0.063,0.203620407654836,10
0.064,0.206750120580515,10
0.065,0.209876703793268,10
0.066,0.213000160422808,10
0.067,0.216120493595718,10
0.068,0.219237706435456,10
0.069,0.222351802062354,10
0.07,0.225462783593625,10
0.071,0.228570654143364,10
0.072,0.231675416822554,10
0.073,0.234777074739065,10
0.074,0.237875630997659,10
0.075,0.240971088699995,10
0.076,0.244063450944628,10
0.077,0.247152720827017,10
0.078,0.250238901439523,10
0.079,0.253321995871417,10
0.08,0.256402007208879,10
0.081,0.259478938535004,10
0.082,0.262552792929802,10
0.083,0.265623573470205,10
0.084,0.268691283230069,10
0.085,0.271755925280172,10
0.086,0.274817502688225,10
0.087,0.27787601851887,10
0.088,0.280931475833685,10
0.089,0.283983877691184,10
0.09,0.287033227146826,10
0.091,0.290079527253013,10
0.092,0.293122781059093,10
0.093,0.296162991611368,10
0.094,0.29920016195309,10
0.095,0.30223429512447,10
0.096,0.305265394162679,10
0.097,0.308293462101849,10
0.098,0.311318501973081,10
0.099,0.314340516804441,10
0.1,0.31735950962097,10
0.101,0.320375483444682,10
0.102,0.323388441294571,10
0.103,0.32639838618661,10
0.104,0.329405321133756,10
0.105,0.332409249145956,10
0.106,0.335410173230143,10
0.107,0.338408096390247,10
0.108,0.34140302162719,10
0.109,0.344394951938896,10
0.11,0.34738389032029,10
0.111,0.350369839763303,10
0.112,0.353352803256873,10
0.113,0.35633278378695,10
0.114,0.359309784336496,10
0.115,0.362283807885493,10
0.116,0.365254857410941,10
0.117,0.368222935886863,10
0.118,0.37118804628431,10
0.119,0.374150191571359,10
0.12,0.377109374713121,10
0.121,0.380065598671741,10
0.122,0.383018866406402,10
0.123,0.385969180873329,10
0.124,0.388916545025789,10
0.125,0.391860961814097,10
0.126,0.394802434185616,10
0.127,0.397740965084764,10
0.128,0.400676557453012,10
0.129,0.403609214228893,10
0.13,0.406538938347997,10
0.131,0.409465732742983,10
0.132,0.412389600343573,10
0.133,0.415310544076563,10
0.134,0.418228566865819,10
0.135,0.421143671632287,10
0.136,0.424055861293988,10
0.137,0.426965138766027,10
0.138,0.429871506960595,10
0.139,0.432774968786967,10
0.14,0.435675527151514,10
0.141,0.438573184957696,10
0.142,0.441467945106071,10
0.143,0.444359810494299,10
0.144,0.447248784017138,10
0.145,0.450134868566454,10
0.146,0.45301806703122,10
0.147,0.455898382297523,10
0.148,0.458775817248558,10
0.149,0.461650374764643,10
0.15,0.464522057723212,10
0.151,0.467390868998822,10
0.152,0.470256811463157,10
0.153,0.473119887985027,10
0.154,0.475980101430375,10
0.155,0.478837454662278,10
0.156,0.481691950540949,10
0.157,0.484543591923741,10
0.158,0.487392381665151,10
0.159,0.490238322616819,10
0.16,0.493081417627536,10
0.161,0.495921669543242,10
0.162,0.498759081207032,10
0.163,0.501593655459158,10
0.164,0.504425395137032,10
0.165,0.507254303075228,10
0.166,0.510080382105487,10
0.167,0.512903635056714,10
0.168,0.515724064754991,10
0.169,0.518541674023569,10
0.17,0.521356465682879,10
0.171,0.52416844255053,10
0.172,0.526977607441312,10
0.173,0.529783963167204,10
0.174,0.532587512537371,10
0.175,0.535388258358167,10
0.176,0.538186203433142,10
0.177,0.540981350563042,10
0.178,0.543773702545812,10
0.179,0.5465632621766,10
0.18,0.549350032247756,10
0.181,0.552134015548842,10
0.182,0.554915214866626,10
0.183,0.557693632985093,10
0.184,0.560469272685441,10
0.185,0.563242136746089,10
0.186,0.566012227942676,10
0.187,0.568779549048067,10
0.188,0.571544102832352,10
0.189,0.574305892062853,10
0.19,0.577064919504124,10
0.191,0.579821187917953,10
0.192,0.582574700063368,10
0.193,0.585325458696638,10
0.194,0.588073466571275,10
0.195,0.590818726438037,10
0.196,0.593561241044933,10
0.197,0.596301013137221,10
0.198,0.599038045457417,10
0.199,0.601772340745293,10
0.2,0.604503901737881,10
0.201,0.607232731169477,10
0.202,0.60995883177164,10
0.203,0.612682206273202,10
0.204,0.615402857400262,10
0.205,0.618120787876195,10
0.206,0.620836000421652,10
0.207,0.623548497754564,10
0.208,0.626258282590143,10
0.209,0.628965357640886,10
